	V1	V21	V41	V61	V81	V101	V121	V141	V161	V181	V201	V221	V241	V261	V281	V301	V321	V341	V361	V381	V401	V421	V441	V461	V481	V501	V521	V541	V561	V581	V601	V621	V641	V661	V681	V701	V721	V741	V761	V781
1	-1337.414063	-1367.091797	-1401.021484	-1435.353516	-255.810547	90.503906	52.875	-1472.013672	-1518.787109	-1536.833984	-1533.326172	-1101.886719	24.871094	26.28125	-954.027344	-1470.949219	-1425.980469	-1410.353516	-1399.289063	-1407.792969	-1426.691406	-816.183594	170.671875	-1530.597656	-470.96875	518.8125	-323.816406	-1429.904297	-1575.992188	-1598.439453	-1593.929688	-1025.337891	-21.578125	-28.421875	-968.121094	-1570.115234	125.167969	-866.136719	-1474.810547	-1486.820313
21	-1170.755859	-1201.988281	-1241.388672	-187.564453	141.488281	122.695313	-1331.296875	-1360.314453	-1404.380859	-1429.261719	-1427.474609	-1422.767578	-844.322266	58.839844	-60.171875	-691.291016	-1253.544922	-1267.410156	-1221.707031	-1210.681641	-1226.542969	-1259.244141	-188.871094	68.320313	163.683594	1204.335938	-338.882813	-1476.275391	-1505.3125	-1532.320313	-1530.138672	-1520.509766	-665.847656	-1.128906	-114.898438	39.738281	-585.830078	-1320.425781	-1287.289063	-1273.548828
41	-1235.541016	-1254.791016	-203.886719	138.484375	125.398438	-1333.994141	-1339.826172	-1327.027344	-1364.625	-1379.878906	-1373.289063	-1358.212891	-1392.21875	-682.130859	42.394531	74.144531	-949.025391	-1287.091797	-1240.888672	-1235.896484	-1252.113281	-1287.478516	5.054688	47.898438	-96.003906	-295.025391	42.449219	-295.013672	-1397.550781	-1421.826172	-1413.412109	-1395.626953	-1428.101563	-295.171875	-11.972656	-224.632813	-788.783203	-1338.429688	-1294.902344	-1274.498047
61	-1461.779297	-289.814453	70.949219	41.796875	-1516.966797	-1492.185547	-1496.388672	-1481.912109	-1507.917969	-1497.351563	-1502.888672	-1497.029297	-1520.814453	-1507.818359	-316.117188	1159.398438	-3.96875	-999.919922	-1454.923828	-1479.875	-1498.388672	-248.117188	27.949219	-215.240234	-1430.285156	-1545.033203	-351.150391	18.140625	-363.304688	-1552.308594	-1561.416016	-1547.757813	-1575.646484	-1580.324219	-728.164063	-97.46875	-313.148438	-1056.027344	-1485.529297	-1505.576172
81	-313.121094	42.242188	3.839844	-1542.408203	-1542.925781	-1521.154297	-1521.072266	-1511.488281	-1535.634766	-1532.748047	-1534.363281	-1532.615234	-1544.005859	-363.400391	-65.800781	-340.777344	-66.722656	13.09375	-1251.939453	-1553.636719	-490.083984	1.609375	-330.289063	-1484.546875	-1606.511719	-1582.279297	-1570.349609	-361.787109	-9.164063	-407.027344	-1598.208984	-1593.164063	-1618.705078	-1618.599609	-1650.111328	-750.564453	-51.804688	-221.890625	-1385.71875	-1605.224609
101	42.460938	-316.142578	-1498.402344	-1482.322266	-1480.417969	-1463.988281	-1462.914063	-1459.40625	-1483.429688	-1494.394531	-1506.535156	-1501.503906	-323.279297	17.945313	-349.523438	-1479.832031	-572.578125	34.058594	13.527344	-12.1875	-5.667969	-317.759766	-1400.449219	-1521.871094	-1549.578125	-1496.208984	-1485.605469	-1494.917969	-23.050781	-16.511719	-407.974609	-1522.412109	-1556.140625	-1548.394531	-1548.960938	-1517.978516	-404.958984	-1.902344	-244.5625	-421.568359
121	-290.679688	-1447.455078	-1481.964844	-1497.111328	-1505.169922	-1489.849609	-1504.962891	-1501.615234	-1534.339844	-1553.171875	-1595.447266	-440.111328	-50.296875	-342.166016	-1508.175781	-1494.800781	-1469.865234	-707	26.714844	3.90625	-312.480469	-1380.806641	-1548.515625	-1561.992188	-1568.160156	-1555.228516	-1562.037109	-1570.443359	-1600.597656	-48.773438	-34.652344	-438.398438	-1646.353516	-1639.6875	-1619.074219	-1580.470703	-1537.369141	-481.666016	-21.878906	-55.058594
141	-1212.896484	-1242.832031	-1279.171875	-1299.367188	-1333.433594	-1424.646484	-1450.080078	-1449.664063	-1485.267578	-1507.177734	23.636719	-1.902344	-334.410156	-1472.833984	-1407.683594	-1343.740234	-1301.394531	-1289.007813	-261.382813	75.808594	-273.726563	-1311.611328	-1346.720703	-1373.296875	-1408.261719	-1498.794922	-1522.269531	-1527.375	-1573.865234	-1581.546875	-21.074219	-9.40625	-413.501953	-1606.587891	-1523.173828	-1440.166016	-1388.148438	-1378.974609	-343.207031	19.871094
161	-174.279297	-1229.142578	-1261.322266	-1281.105469	-1302.271484	-1293.693359	-1316.900391	-1309.873047	-1348.244141	94.253906	98.828125	-245.857422	-1319.212891	-1353.207031	-1400.621094	-1337.837891	-1294.001953	-523.890625	107.746094	97.933594	-219.365234	-1265.673828	-1299.451172	-1321.958984	-1348.236328	-1347.746094	-1365.498047	-1364.246094	-1407.173828	-1432.384766	-1417.378906	36.070313	4.972656	-372.777344	-1488.363281	-1390.748047	-1329.957031	-1357.023438	-273.511719	47.933594
181	94.34375	-252.935547	-1429.792969	-1461.523438	-1463.517578	-1452.265625	-1470.941406	-1446.554688	56.738281	67.933594	-292.134766	-1465.488281	-1474.552734	-1493.775391	-1498.1875	-1485.927734	-597.580078	81.253906	62.839844	53.753906	62.839844	-287.802734	-1441.941406	-1481.867188	-1488.769531	-1490.746094	-1504.884766	-1493.685547	-1515.363281	-1530.970703	-1519.3125	-1519.455078	-352.310547	-95.035156	-420.513672	-1496.326172	-1421.125	-292.347656	27.164063	17.3125
